http://www.reporteindigo.com/reporte/monterrey/las-propiedades-del-esposo-de-la-alcaldesa 	Roberto Garza 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.milenio.com/politica/Chema_gubernatura-chema_humanista-chema_precandidato_0_446955531.html 	Partido Humanista 	Jesús María Elizondo 	trabajo 	Show 	Edit 	Destroy
http://elhorizonte.mx/a/noticia/433932 	Ismael Flores 	Cristina Díaz 	trabajo 	Show 	Edit 	Destroy
http://elhorizonte.mx/a/noticia/433932 	Ismael Flores 	Ivonne Álvarez 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://elhorizonte.mx/a/noticia/433932 	Tomas Montoya Díaz 	Cristina Díaz 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.proceso.com.mx/?p=286598 	Castidad 	Jaime Rodríguez Calderón 	Delincuencia, faltas e irregularidades 	Show 	Edit 	Destroy
http://www.milenio.com/monterrey/Solicitan-inhabilitar-Jaime-Rodriguez_0_156584625.html 	Cuenta Pública 	Jaime Rodríguez Calderón 	Mal uso de recursos 	Show 	Edit 	Destroy
http://elregio.com/local/100704-investigar%C3%A1n-finanzas-en-guadalupe-congreso.html 	Cuenta Pública 	Ivonne Álvarez 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.excelsior.com.mx/nacional/2013/10/23/925021 	Miguel Ángel Treviño Sandoval 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://elhorizonte.mx/a/noticia/418974 	Miguel Ángel Treviño Sandoval 	Margarita Arellanes 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.eluniversal.com.mx/nacion/178071.html 	Cámara Nacional de Manufacturas Eléctricas 	Felipe de Jesús Cantú 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.periodicoabc.mx/noticias/mi-ciudad/2013/12/favorecio-margarita-a-su-operador-politico.php#.VMLLi2SG9ig 	José Serrano Montoya 	Margarita Arellanes 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.reporteindigo.com/reporte/monterrey/el-cuartel-sampetrino-y-el-equipo-de-margarita 	Juan José Rojas Cardona 	Margarita Arellanes 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.jornada.unam.mx/2003/08/13/033n1est.php?printver=0&fly=2 	Juan Pablo Hinojosa Canales 	Felipe de Jesús Cantú 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://info7.mx/a/noticia/201487 	Luis Francisco Martínez Luna 	Felipe de Jesús Cantú 	Administración 	Show 	Edit 	Destroy
http://www.cndh.org.mx/sites/all/fuentes/documentos/Recomendaciones/2003/REC_2003_032.pdf 	Luis Francisco Martínez Luna 	Felipe de Jesús Cantú 	Administración 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=327013&impresion=1 	Carlos Andrade Ibarra 	Felipe de Jesús Cantú 	Delincuencia, faltas e irregularidades 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=327013&impresion=1 	Carlos Andrade Ibarra 	Margarita Arellanes 	trabajo 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=327013&impresion=1 	Marco Antonio Martínez Díaz 	Margarita Arellanes 	trabajo 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=431373&urlredirect=http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431373 	Críticos 	Margarita Arellanes 	Disciplina 	Show 	Edit 	Destroy
http://www.milenio.com/politica/Denuncia_CEE_Ugo_Ruiz-campana_anticipada_Ugo_0_400760081.html 	Campaña 	Ugo Ruiz 	Disciplina 	Show 	Edit 	Destroy
http://www.proceso.com.mx/?p=300426 	Puesto público 	Ivonne Álvarez 	Disciplina 	Show 	Edit 	Destroy
http://www.milenio.com/politica/CEE_multas_Margarita-autopromocion_alcaldesa_Monterrey_0_431956896.html 	Campaña 	Margarita Arellanes 	Disciplina 	Show 	Edit 	Destroy
http://www.eluniversal.com.mx/estados/2015/impreso/revelan-que-se-conocian-problemas-de-8216el-mocho-8217-97560.html 	Escoltas 	Margarita Arellanes 	trabajo 	Show 	Edit 	Destroy
http://www.excelsior.com.mx/nacional/2014/11/10/991625 	Auditoría Superior del Estado 	Margarita Arellanes 	Administración 	Show 	Edit 	Destroy
http://noticias.terra.com.mx/mexico/estados/nuevo-leon/pri-cuestiona-riqueza-inexplicable-de-margarita-arellanes,bea463ca284a2410VgnVCM4000009bcceb0aRCRD.html 	Propiedades 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=243478 	Constructora Maiz Mier 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.milenio.com/region/denuncia_a_alcalde-dueno_de_tanarah-funcionarios_san_pedro-plaza_tanarah_0_359964146.html 	Francisco José Montemayor 	Bernardo Bichara Assad 	Administración 	Show 	Edit 	Destroy
http://www.milenio.com/region/San_Pedro_Tanarah_Medina-Ugo_Medina_demolicion-estado_protege_Tanarah_0_350365221.html 	Francisco José Montemayor 	Bernardo Bichara Assad 	Administración 	Show 	Edit 	Destroy
http://www.reporteindigo.com/reporte/monterrey/el-procurador-y-sus-hermanitos 	Iván de la Garza Santos 	Adrián de la Garza 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.reporteindigo.com/reporte/monterrey/el-procurador-y-sus-hermanitos 	De la Garza Santos y Asociados 	Adrián de la Garza 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.reporteindigo.com/reporte/monterrey/el-conflicto-del-red 	De la Garza Santos y Asociados 	Adrián de la Garza 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=438799 	Sergio Gil 	Adrián de la Garza 	Favoritismo/Tráfico de influencias 	Show 	Edit 	Destroy
http://www.proceso.com.mx/?p=384237 	Críticos 	Adrián de la Garza 	Delincuencia, faltas e irregularidades 	Show 	Edit 	Destroy
http://www.milenio.com/politica/denunciaran_a_gobierno_estado-desvio_recursos_fines_electorales-registro_ivonne_0_446355564.html 	Campaña 	Ivonne Álvarez 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.vanguardia.com.mx/denuncian_abuso_policiaco_contra_homosexuales_de_nuevo_leon-1485423.html 	Policías 	Adrián de la Garza 	Delincuencia, faltas e irregularidades 	Show 	Edit 	Destroy
http://www.animalpolitico.com/2012/03/los-puntos-para-entender-la-sentencia-contra-la-alcaldesa-de-guadalupe/ 	Críticos 	Ivonne Álvarez 	Disciplina 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicaciones/articulo/default.aspx?Id=439759&v=4&Fuente=MD 	Campaña 	Ivonne Álvarez 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.excelsior.com.mx/nacional/2013/10/23/925021 	Miguel Ángel Treviño Sandoval 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://reporteindigo.com/reporte/monterrey/exhibir-politico-le-cuesta-la-carcel 	Juan Pablo Hinojosa Canales 	Felipe de Jesús Cantú 	--- 	Show 	Edit 	Destroy
http://www.adnpolitico.com/2012/2012/09/03/calderon-buen-presidente-y-mal-panista-exdiputados-del-pan 	Josefina Vázquez Mota 	Felipe de Jesús Cantú 	--- 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Daniel Tamez Alcalá 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Manuel García Mancillas 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	Alejandro Miller González 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.elnorte.com/aplicacioneslibre/articulo/default.aspx?id=450132&md5=dd48fcfa2e7f7f1e17d7e52cc50fb94f&ta=b3849913c10ee04e761e11add1750758&fg=58b4fe8a4e89957eec03a655ea10f794 	David Garza 	Margarita Arellanes 	Mal uso de recursos 	Show 	Edit 	Destroy
http://www.sinembargo.mx/21-05-2013/620813 	Juan José Rojas Cardona 	Iván Garza 	trabajo 	Show 	Edit 	Destroy

New Relation
